lat,long,Jan,Feb,Mar,Apr,May,June,july,Aug,Sept,Oct,Nov,Dec
47,-118,1.32,2.25
38,-82,1.87,2.56
43,-106,1.89,2.78
44,-108,1.78,2.74
28,-103,3.71,4.49,5.72
29,-67,3.15,3.98,5.09
33,-66,2.32,3.1
23,-124,3.81,4.49,5.36
46,-67,1.55,2.46
30,-94,2.63,3.21,4.18
31,-108,3.52,4.32,5.76
36,-72,1.57,2.3
37,-78,2.27,3.01
39,-126,2.0,2.91
27,-120,3.79,4.52,5.54
31,-123,3.22,4.02,5.13
34,-114,3.1,3.98
35,-104,2.96,3.87
24,-76,4.12,5.13,6.05
25,-106,4.37,5.27,6.66
35,-119,2.65,3.67
44,-113,1.91,2.82
28,-112,3.91,4.79,6.28
29,-102,3.31,4.08,5.4
41,-79,1.71,2.54
30,-87,2.87,3.58,4.72
31,-99,2.98,3.63,4.77
37,-69,1.43,2.03
45,-67,1.61,2.51
49,-66,1.24,2.12
34,-91,2.39,3.06
35,-111,2.97,3.89
24,-81,4.1,4.98,5.99
25,-97,3.03,3.88,5.01
35,-126,2.54,3.41
38,-68,1.46,2.12
23,-91,4.06,4.94,5.94
44,-122,1.54,2.46
28,-85,3.32,4.13,5.32
29,-109,3.93,4.74,6.36
41,-74,1.87,2.79
42,-80,1.54,2.31
26,-83,3.81,4.74,5.77
30,-80,2.94,3.57,4.82
31,-90,2.66,3.38,4.37
45,-70,1.61,2.55
49,-73,1.38,2.34
34,-100,2.84,3.51
35,-86,2.22,2.85
25,-92,3.52,4.37,5.49
47,-99,1.42,2.31
23,-98,3.29,4.08,5.04
44,-119,1.71,2.64
28,-94,2.92,3.69,4.85
29,-88,3.07,3.84,5.12
36,-126,2.39,3.3
41,-97,1.96,2.66
42,-81,1.4,2.15
26,-76,3.69,4.59,5.66
27,-78,3.49,4.38,5.44
46,-78,1.56,2.55
30,-73,2.9,3.65,4.84
31,-81,2.91,3.67,4.82
45,-77,1.62,2.58
49,-84,1.36,2.37
34,-69,2.01,2.72
35,-93,2.37,3.11
40,-124,1.92,2.79
28,-118,3.81,4.6,5.67
47,-90,1.16,2.06
32,-127,2.93,3.72
38,-102,2.42,3.16
23,-105,4.56,5.5,6.86
44,-128,1.43,2.27
29,-95,2.74,3.24,4.26
48,-121,1.25,2.16
36,-123,2.6,3.41
41,-92,1.87,2.63
42,-74,1.75,2.66
27,-69,3.52,4.44,5.49
46,-71,1.55,2.48
30,-66,2.94,3.79,4.91
31,-80,2.82,3.55,4.83
24,-119,4.03,4.81,5.63
45,-88,1.48,2.33
34,-78,2.49,3.21
35,-100,2.76,3.45
40,-129,1.84,2.65
47,-113,1.46,2.37
48,-97,1.36,2.29
32,-120,3.28,4.09
38,-111,2.64,3.57
23,-104,4.5,5.47,6.71
29,-98,2.84,3.41,4.43
41,-115,2.1,3.0
42,-99,1.88,2.66
27,-76,3.5,4.33,5.45
31,-71,2.7,3.48,4.66
39,-73,1.86,2.84
24,-128,3.54,4.45,5.3
45,-95,1.64,2.54
35,-75,2.21,3.04
47,-112,1.39,2.31
48,-90,1.3,2.21
32,-109,3.43,4.26
38,-88,1.94,2.72
23,-111,4.48,5.32,6.48
41,-123,1.96,2.84
41,-110,2.29,3.26
42,-92,1.81,2.59
26,-111,4.32,5.16,6.62
27,-67,3.48,4.41,5.46
45,-119,1.42,2.4
39,-72,1.69,2.62
45,-98,1.6,2.42
34,-64,2.13,2.86
35,-82,2.41,3.11
25,-128,3.48,4.36,5.33
47,-103,1.42,2.32
48,-111,1.3,2.22
32,-102,3.09,3.85
38,-97,2.26,2.99
41,-118,2.05,2.96
36,-98,2.51,3.21
41,-101,2.07,2.89
42,-109,2.09,2.89
26,-104,3.8,4.63,5.73
45,-122,1.29,2.22
49,-117,1.32,2.26
39,-79,1.89,2.63
40,-71,1.81,2.77
45,-105,1.63,2.54
34,-65,2.11,2.83
25,-119,3.97,4.72,5.64
43,-67,1.4,2.31
48,-104,1.31,2.23
32,-107,3.42,4.22
33,-103,3.14,3.93
29,-123,3.45,4.24,5.27
33,-122,3.06,3.85
36,-95,2.32,3.02
42,-102,1.95,2.8
26,-105,4.06,4.97,6.26
27,-113,3.87,4.62,5.93
45,-129,1.31,2.18
49,-128,0.97,1.84
37,-118,2.65,3.62
40,-80,1.78,2.56
45,-116,1.67,2.64
35,-64,1.93,2.67
32,-100,2.99,3.66
33,-114,3.24,4.11
23,-76,4.27,5.21,6.07
29,-126,3.33,4.11,5.17
33,-129,2.74,3.56
36,-88,2.1,2.84
37,-94,2.21,2.9
42,-127,1.66,2.54
26,-98,2.93,3.57,4.55
27,-104,3.87,4.68,5.93
24,-92,3.74,4.58,5.66
43,-81,1.7,2.56
44,-65,1.55,2.39
47,-84,1.46,2.42
32,-89,2.57,3.27
33,-89,2.49,3.15
38,-124,2.19,3.11
23,-83,4.09,5.03,6.03
36,-109,2.87,3.76
37,-85,1.97,2.67
42,-120,1.99,2.91
26,-91,3.38,4.26,5.41
27,-95,2.92,3.71,4.92
46,-125,1.25,2.15
39,-108,2.58,3.39
24,-97,3.13,4.05,5.08
25,-81,3.69,4.42,5.16
43,-72,1.75,2.68
44,-74,1.62,2.58
28,-69,3.33,4.23,5.32
47,-75,1.52,2.5
32,-82,2.76,3.42
33,-100,2.93,3.59
38,-117,2.56,3.47
30,-128,3.11,3.89,4.96
36,-102,2.68,3.47
37,-112,2.72,3.54
42,-121,1.99,2.96
27,-86,3.37,4.13,5.3
46,-118,1.36,2.32
49,-89,1.39,2.41
39,-115,2.48,3.32
40,-67,1.47,2.25
24,-106,4.49,5.4,6.79
25,-76,3.92,4.87,5.84
43,-95,1.76,2.57
44,-71,1.7,2.63
28,-78,3.26,4.07,5.21
29,-72,3.13,3.99,5.1
48,-84,1.41,2.4
32,-71,2.47,3.21
33,-75,2.12,2.81
38,-126,2.13,3.02
26,-124,3.61,4.38,5.38
46,-94,1.59,2.59
30,-121,3.43,4.21,5.31
36,-67,1.62,2.28
37,-103,2.56,3.41
49,-100,1.27,2.17
34,-117,3.08,3.96
39,-90,1.93,2.62
40,-108,2.38,3.27
24,-111,3.8,4.74,5.96
25,-67,3.87,4.88,5.72
43,-86,1.71,2.57
44,-80,1.36,2.18
29,-79,3.02,3.74,4.96
48,-73,1.47,2.39
32,-64,2.53,3.35
33,-70,2.25,2.97
46,-87,1.4,2.32
30,-114,3.87,4.78,6.35
37,-106,2.76,3.72
49,-107,1.2,2.11
34,-126,2.71,3.54
39,-97,2.18,2.83
40,-113,2.2,3.1
43,-126,1.54,2.43
47,-129,1.13,2.04
43,-109,1.97,2.88
44,-85,1.61,2.55
28,-68,3.35,4.21,5.29
29,-82,3.1,3.72,4.79
33,-77,2.41,3.21
41,-67,1.42,2.29
46,-112,1.6,2.56
30,-107,3.61,4.38,5.77
36,-81,2.28,2.94
37,-65,1.47,2.12
39,-121,2.22,3.13
49,-102,1.25,2.15
34,-103,2.96,3.82
39,-96,2.17,2.8
40,-90,1.93,2.64
43,-117,1.73,2.72
47,-128,1.16,2.06
38,-72,1.62,2.47
43,-116,1.81,2.79
44,-94,1.71,2.6
28,-105,3.85,4.72,6.13
46,-105,1.5,2.43
30,-100,3.08,3.78,4.91
31,-110,3.53,4.36,5.92
36,-74,1.9,2.73
39,-120,2.31,3.24
27,-130,3.32,4.19,5.19
31,-125,3.14,3.9,5.09
49,-109,1.17,2.04
34,-112,3.02,3.82
40,-95,2.05,2.73
24,-70,4.04,5.08,6.0
25,-112,4.11,4.91,6.08
43,-124,1.48,2.32
47,-119,1.32,2.24
38,-81,1.88,2.54
43,-107,1.95,2.85
44,-107,1.78,2.68
28,-114,3.72,4.55,5.69
29,-68,3.14,3.98,5.1
33,-63,2.34,3.14
23,-117,4.22,4.96,5.79
46,-66,1.63,2.56
30,-93,2.63,3.24,4.29
31,-101,3.12,3.84,5.14
36,-71,1.54,2.26
37,-83,2.01,2.62
39,-127,2.0,2.86
27,-121,3.73,4.47,5.51
31,-124,3.18,3.94,5.11
34,-113,3.09,3.94
35,-105,3.02,3.95
24,-75,4.04,5.09,6.0
25,-103,3.85,4.68,5.8
35,-120,2.66,3.64
44,-116,1.77,2.72
28,-111,3.84,4.68,6.14
29,-107,3.88,4.71,6.15
41,-80,1.68,2.47
30,-86,2.92,3.63,4.76
31,-100,3.06,3.73,4.95
37,-70,1.41,2.03
45,-68,1.61,2.51
49,-63,1.16,1.98
34,-90,2.41,3.04
35,-112,2.92,3.81
24,-84,3.97,4.86,5.9
25,-98,3.05,3.69,4.69
35,-127,2.51,3.39
38,-67,1.45,2.1
23,-92,3.98,4.82,5.86
44,-121,1.61,2.56
28,-88,3.15,3.99,5.19
29,-110,3.88,4.72,6.32
48,-126,1.03,1.89
41,-71,1.86,2.72
42,-79,1.67,2.52
26,-82,3.66,4.47,5.35
46,-84,1.49,2.44
30,-79,2.82,3.49,4.73
31,-91,2.66,3.32,4.39
45,-75,1.6,2.57
49,-74,1.38,2.34
34,-99,2.76,3.45
35,-87,2.23,2.93
40,-118,2.25,3.23
25,-89,3.7,4.52,5.53
47,-100,1.42,2.31
38,-108,2.66,3.47
23,-99,3.56,4.31,5.21
44,-130,1.41,2.23
28,-93,2.94,3.74,4.89
29,-85,3.19,3.99,5.15
36,-125,2.46,3.35
41,-98,1.98,2.69
42,-72,1.81,2.68
26,-75,3.69,4.63,5.67
27,-79,3.48,4.32,5.42
46,-77,1.56,2.55
30,-72,2.93,3.71,4.86
31,-82,2.82,3.53,4.54
45,-78,1.62,2.58
49,-81,1.37,2.39
34,-76,2.32,3.15
35,-94,2.39,3.11
40,-123,1.98,2.89
28,-117,3.84,4.64,5.67
47,-91,1.39,2.33
32,-130,2.81,3.64
38,-101,2.4,3.11
23,-106,4.51,5.4,6.72
44,-127,1.45,2.32
29,-96,2.76,3.26,4.3
48,-124,1.04,1.91
36,-118,2.75,3.64
41,-89,1.86,2.67
42,-73,1.77,2.67
26,-68,3.64,4.65,5.61
27,-70,3.52,4.45,5.5
46,-70,1.56,2.49
30,-65,2.94,3.8,4.92
31,-73,2.68,3.41,4.6
24,-122,3.84,4.59,5.44
45,-85,1.25,2.04
34,-77,2.52,3.29
35,-69,1.75,2.52
28,-126,3.41,4.2,5.23
47,-114,1.46,2.37
48,-100,1.34,2.2
32,-119,3.3,4.09
38,-110,2.63,3.55
23,-113,4.45,5.26,6.33
41,-129,1.72,2.55
41,-116,2.08,2.96
42,-98,1.86,2.66
31,-72,2.7,3.44,4.63
39,-74,2.02,2.99
